project_id,photo_location,image_id,filename,location,is_blank,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,timestamp,number_of_objects,age,sex,animal_recognizable,individual_id,individual_animal_notes,behavior,highlighted,markings,cv_confidence,license,bounding_boxes,cluster_id_local
2008105,N01,96ca99d4-1731-4087-82d5-f73d7cf3c349,09050006.JPG,gs://145625598251_2008105_438_fern_tor__main/deployment/2322482/prod/directUpload/96ca99d4-1731-4087-82d5-f73d7cf3c349.JPG,0,Katherine Weiss,e6f88ed1-c305-4e94-b53d-8eec1b1d980a,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Researcher,,2024-05-09 16:33:00,1,,,,,,,False,,,CC-BY-NC,"{""{\""detectionBox\"":[0,0.10390000000000002,0.6485333333333333,0.3195]}""}",0
2008105,N01,10398375-f7d0-402d-b919-2f1d99988499,09050002.JPG,gs://145625598251_2008105_438_fern_tor__main/deployment/2322482/prod/directUpload/10398375-f7d0-402d-b919-2f1d99988499.JPG,0,Katherine Weiss,e6f88ed1-c305-4e94-b53d-8eec1b1d980a,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Researcher,,2024-05-09 16:32:00,1,,,,,,,False,,,CC-BY-NC,"{""{\""detectionBox\"":[0.39440000000000003,0,0.5734933333333333,0.09999999999999999]}"",""{\""detectionBox\"":[0.5596266666666666,0,0.9484266666666665,0.3030999999999999]}"",""{\""detectionBox\"":[0.11386666666666669,0,0.5805333333333335,0.1007]}""}",1
2008105,N01,b69bff22-2e7c-42fc-ab03-95533809f78b,09050013.JPG,gs://145625598251_2008105_438_fern_tor__main/deployment/2322482/prod/directUpload/b69bff22-2e7c-42fc-ab03-95533809f78b.JPG,0,Katherine Weiss,e6f88ed1-c305-4e94-b53d-8eec1b1d980a,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Researcher,,2024-05-09 16:37:00,1,,,,,,,False,,,CC-BY-NC,"{""{\""detectionBox\"":[0.001386666666666672,0,0.9499733333333334,0.2828]}""}",2
2008105,N01,28a6d1e8-5e61-44dc-a547-7d7e29c17797,09050025.JPG,gs://145625598251_2008105_438_fern_tor__main/deployment/2322482/prod/directUpload/28a6d1e8-5e61-44dc-a547-7d7e29c17797.JPG,0,Katherine Weiss,e6f88ed1-c305-4e94-b53d-8eec1b1d980a,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Researcher,,2024-05-09 16:39:00,1,,,,,,,False,,,CC-BY-NC,"{""{\""detectionBox\"":[0.001386666666666672,0,0.9471999999999998,0.2234]}""}",3
2008105,N01,95c06353-8cbf-427b-974b-be30c3df933c,09050029.JPG,gs://145625598251_2008105_438_fern_tor__main/deployment/2322482/prod/directUpload/95c06353-8cbf-427b-974b-be30c3df933c.JPG,0,Katherine Weiss,e6f88ed1-c305-4e94-b53d-8eec1b1d980a,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Researcher,,2024-05-09 16:40:00,1,,,,,,,False,,,CC-BY-NC,"{""{\""detectionBox\"":[0,0,0.9485866666666666,0.1749]}""}",4
2008105,N01,718aa284-4285-4470-8301-6fa503aac36d,09050035.JPG,gs://145625598251_2008105_438_fern_tor__main/deployment/2322482/prod/directUpload/718aa284-4285-4470-8301-6fa503aac36d.JPG,0,Katherine Weiss,e6f88ed1-c305-4e94-b53d-8eec1b1d980a,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Researcher,,2024-05-09 16:42:00,1,,,,,,,False,,,CC-BY-NC,"{""{\""detectionBox\"":[0.001386666666666672,0.08671,0.7124266666666668,0.26320999999999994]}""}",5
2008105,N01,03658db5-a4b8-4172-8f63-d785fdab92be,09050050.JPG,gs://145625598251_2008105_438_fern_tor__main/deployment/2322482/prod/directUpload/03658db5-a4b8-4172-8f63-d785fdab92be.JPG,0,Katherine Weiss,e6f88ed1-c305-4e94-b53d-8eec1b1d980a,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Researcher,,2024-05-09 16:43:00,1,,,,,,,False,,,CC-BY-NC,"{""{\""detectionBox\"":[0,0.18589999999999998,0.9485866666666666,0.4788]}""}",6
2008105,N01,1112f3ec-5c21-49b8-94b8-0dbc117df9df,09050058.JPG,gs://145625598251_2008105_438_fern_tor__main/deployment/2322482/prod/directUpload/1112f3ec-5c21-49b8-94b8-0dbc117df9df.JPG,0,Katherine Weiss,e6f88ed1-c305-4e94-b53d-8eec1b1d980a,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Researcher,,2024-05-09 16:44:00,1,,,,,,,False,,,CC-BY-NC,"{""{\""detectionBox\"":[0,0.23039999999999997,0.7652266666666667,0.4968]}""}",7
2008105,N01,f6fa657e-d618-4134-944c-9b4567d1ee68,09050074.JPG,gs://145625598251_2008105_438_fern_tor__main/deployment/2322482/prod/directUpload/f6fa657e-d618-4134-944c-9b4567d1ee68.JPG,0,Katherine Weiss,e6f88ed1-c305-4e94-b53d-8eec1b1d980a,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Researcher,,2024-05-09 16:45:00,1,,,,,,,False,,,CC-BY-NC,"{""{\""detectionBox\"":[0,0.4398,0.7472000000000001,0.8882000000000001]}""}",8
2008105,N01,8e82dad5-edd7-4003-b4fc-a516daa9a064,09050091.JPG,gs://145625598251_2008105_438_fern_tor__main/deployment/2322482/prod/directUpload/8e82dad5-edd7-4003-b4fc-a516daa9a064.JPG,0,Katherine Weiss,e6f88ed1-c305-4e94-b53d-8eec1b1d980a,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Researcher,,2024-05-09 16:46:00,1,,,,,,,False,,,CC-BY-NC,"{""{\""detectionBox\"":[0,0.2718,0.6166399999999999,0.4389]}""}",9
2008105,N01,049f6c54-74cd-4b6b-ba9d-72b1956fa0f4,09060094.JPG,gs://145625598251_2008105_438_fern_tor__main/deployment/2322482/prod/directUpload/049f6c54-74cd-4b6b-ba9d-72b1956fa0f4.JPG,0,Katherine Weiss,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,,2024-06-09 09:40:00,1,adult,male,,,,,False,,,CC-BY-NC,"{""{\""detectionBox\"":[0.17498666666666665,0.589,0.9388266666666667,0.9999]}""}",10
