project_id,deployment_id,image_id,filename,location,is_blank,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,timestamp,number_of_objects,age,sex,animal_recognizable,individual_id,individual_animal_notes,behavior,highlighted,markings,cv_confidence,license,bounding_boxes
2008105,01_10.08.24_FT_N01,96ca99d4-1731-4087-82d5-f73d7cf3c349,09050006.JPG,gs://145625598251_2008105_438_fern_tor__main/deployment/2322482/prod/directUpload/96ca99d4-1731-4087-82d5-f73d7cf3c349.JPG,0,Katherine Weiss,e6f88ed1-c305-4e94-b53d-8eec1b1d980a,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Researcher,,9/5/2024 16:33,1,,,,,,,FALSE,,,CC-BY-NC,"{""{\""detectionBox\"":[0,0.10390000000000002,0.6485333333333333,0.3195]}""}"
2008105,01_10.08.24_FT_N01,10398375-f7d0-402d-b919-2f1d99988499,09050002.JPG,gs://145625598251_2008105_438_fern_tor__main/deployment/2322482/prod/directUpload/10398375-f7d0-402d-b919-2f1d99988499.JPG,0,Katherine Weiss,e6f88ed1-c305-4e94-b53d-8eec1b1d980a,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Researcher,,9/5/2024 16:32,1,,,,,,,FALSE,,,CC-BY-NC,"{""{\""detectionBox\"":[0.39440000000000003,0,0.5734933333333333,0.09999999999999999]}"",""{\""detectionBox\"":[0.5596266666666666,0,0.9484266666666665,0.3030999999999999]}"",""{\""detectionBox\"":[0.11386666666666669,0,0.5805333333333335,0.1007]}""}"
2008105,01_10.08.24_FT_N01,fb8cef5e-16e1-468c-8c2a-a87b8bca6828,09050001.JPG,gs://145625598251_2008105_438_fern_tor__main/deployment/2322482/prod/directUpload/fb8cef5e-16e1-468c-8c2a-a87b8bca6828.JPG,0,Katherine Weiss,e6f88ed1-c305-4e94-b53d-8eec1b1d980a,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Researcher,,9/5/2024 16:32,1,,,,,,,FALSE,,,CC-BY-NC,"{""{\""detectionBox\"":[0,0.3382,0.6443733333333334,0.5928]}""}"
2008105,01_10.08.24_FT_N01,516a8784-fc94-4a74-9bb9-fd684cd61b2e,09050007.JPG,gs://145625598251_2008105_438_fern_tor__main/deployment/2322482/prod/directUpload/516a8784-fc94-4a74-9bb9-fd684cd61b2e.JPG,0,Katherine Weiss,e6f88ed1-c305-4e94-b53d-8eec1b1d980a,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Researcher,,9/5/2024 16:33,1,,,,,,,FALSE,,,CC-BY-NC,"{""{\""detectionBox\"":[0,0.15779999999999997,0.9485866666666666,0.9998999999999999]}""}"
2008105,01_10.08.24_FT_N01,d10fc62c-a533-49a3-8b94-f6a254ed09f9,09050008.JPG,gs://145625598251_2008105_438_fern_tor__main/deployment/2322482/prod/directUpload/d10fc62c-a533-49a3-8b94-f6a254ed09f9.JPG,0,Katherine Weiss,e6f88ed1-c305-4e94-b53d-8eec1b1d980a,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Researcher,,9/5/2024 16:33,1,,,,,,,FALSE,,,CC-BY-NC,"{""{\""detectionBox\"":[0,0,0.9472,1]}""}"
2008105,01_10.08.24_FT_N01,72edf694-62d1-404b-99da-40476cd19e04,09050005.JPG,gs://145625598251_2008105_438_fern_tor__main/deployment/2322482/prod/directUpload/72edf694-62d1-404b-99da-40476cd19e04.JPG,0,Katherine Weiss,e6f88ed1-c305-4e94-b53d-8eec1b1d980a,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Researcher,,9/5/2024 16:33,1,,,,,,,FALSE,,,CC-BY-NC,"{""{\""detectionBox\"":[0,0.08281,0.5735466666666665,0.23980999999999997]}""}"
2008105,01_10.08.24_FT_N01,b5409735-d598-4d22-97e3-bf30d2037b00,09050009.JPG,gs://145625598251_2008105_438_fern_tor__main/deployment/2322482/prod/directUpload/b5409735-d598-4d22-97e3-bf30d2037b00.JPG,0,Katherine Weiss,e6f88ed1-c305-4e94-b53d-8eec1b1d980a,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Researcher,,9/5/2024 16:33,1,,,,,,,FALSE,,,CC-BY-NC,"{""{\""detectionBox\"":[0,0,0.9472,0.3523]}""}"
2008105,01_10.08.24_FT_N01,b69bff22-2e7c-42fc-ab03-95533809f78b,09050013.JPG,gs://145625598251_2008105_438_fern_tor__main/deployment/2322482/prod/directUpload/b69bff22-2e7c-42fc-ab03-95533809f78b.JPG,0,Katherine Weiss,e6f88ed1-c305-4e94-b53d-8eec1b1d980a,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Researcher,,9/5/2024 16:37,1,,,,,,,FALSE,,,CC-BY-NC,"{""{\""detectionBox\"":[0.001386666666666672,0,0.9499733333333334,0.2828]}""}"
2008105,01_10.08.24_FT_N01,42114969-0bce-4ba4-a9bc-106caddfa385,09050011.JPG,gs://145625598251_2008105_438_fern_tor__main/deployment/2322482/prod/directUpload/42114969-0bce-4ba4-a9bc-106caddfa385.JPG,0,Katherine Weiss,e6f88ed1-c305-4e94-b53d-8eec1b1d980a,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Researcher,,9/5/2024 16:37,1,,,,,,,FALSE,,,CC-BY-NC,"{""{\""detectionBox\"":[0,0,0.9485866666666666,0.1906]}""}"
2008105,01_10.08.24_FT_N01,5feea571-1740-4aaa-b96a-a8188bcd219d,09050010.JPG,gs://145625598251_2008105_438_fern_tor__main/deployment/2322482/prod/directUpload/5feea571-1740-4aaa-b96a-a8188bcd219d.JPG,0,Katherine Weiss,e6f88ed1-c305-4e94-b53d-8eec1b1d980a,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Researcher,,9/5/2024 16:33,1,,,,,,,FALSE,,,CC-BY-NC,"{""{\""detectionBox\"":[0.6971199999999999,0.4476,0.9484266666666665,0.8694]}""}"
2008105,01_10.08.24_FT_N01,ceb95d38-37a3-421b-a7ad-9e98b8c2e163,09050012.JPG,gs://145625598251_2008105_438_fern_tor__main/deployment/2322482/prod/directUpload/ceb95d38-37a3-421b-a7ad-9e98b8c2e163.JPG,0,Katherine Weiss,e6f88ed1-c305-4e94-b53d-8eec1b1d980a,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Researcher,,9/5/2024 16:37,1,,,,,,,FALSE,,,CC-BY-NC,"{""{\""detectionBox\"":[0,0,0.9499733333333332,0.16639999999999996]}""}"
